Multi-Task Training Started
====================================================================================================
Epoch  |    Batch     |  Train Loss  |   OC Loss    |   OD Loss    |   Val Loss   |    Val OC    |    Val OD    |  Best 
  8    |    80/281    |    0.1419    |    0.1948    |    0.0891    |     ---      |     ---      |     ---      |       
  8    |    90/281    |    0.1405    |    0.1934    |    0.0876    |     ---      |     ---      |     ---      |       
  8    |   100/281    |    0.1401    |    0.1930    |    0.0872    |     ---      |     ---      |     ---      |       
  8    |   110/281    |    0.1389    |    0.1908    |    0.0870    |     ---      |     ---      |     ---      |       
  8    |   120/281    |    0.1387    |    0.1905    |    0.0870    |     ---      |     ---      |     ---      |       
  8    |   130/281    |    0.1386    |    0.1909    |    0.0864    |     ---      |     ---      |     ---      |       
  8    |   140/281    |    0.1390    |    0.1913    |    0.0868    |     ---      |     ---      |     ---      |       
  8    |   150/281    |    0.1393    |    0.1918    |    0.0868    |     ---      |     ---      |     ---      |       
  8    |   160/281    |    0.1387    |    0.1906    |    0.0868    |     ---      |     ---      |     ---      |       
  8    |   170/281    |    0.1384    |    0.1900    |    0.0867    |     ---      |     ---      |     ---      |       
  8    |   180/281    |    0.1378    |    0.1893    |    0.0863    |     ---      |     ---      |     ---      |       
  8    |   190/281    |    0.1373    |    0.1888    |    0.0858    |     ---      |     ---      |     ---      |       
  8    |   200/281    |    0.1365    |    0.1877    |    0.0854    |     ---      |     ---      |     ---      |       
  8    |   210/281    |    0.1360    |    0.1869    |    0.0851    |     ---      |     ---      |     ---      |       
  8    |   220/281    |    0.1358    |    0.1867    |    0.0849    |     ---      |     ---      |     ---      |       
  8    |   230/281    |    0.1358    |    0.1868    |    0.0848    |     ---      |     ---      |     ---      |       
  8    |   240/281    |    0.1354    |    0.1862    |    0.0846    |     ---      |     ---      |     ---      |       
  8    |   250/281    |    0.1353    |    0.1861    |    0.0846    |     ---      |     ---      |     ---      |       
  8    |   260/281    |    0.1348    |    0.1854    |    0.0843    |     ---      |     ---      |     ---      |       
  8    |   270/281    |    0.1347    |    0.1853    |    0.0840    |     ---      |     ---      |     ---      |       
  8    |   280/281    |    0.1346    |    0.1852    |    0.0839    |     ---      |     ---      |     ---      |       
  8    |   Complete   |    0.1346    |    0.1852    |    0.0839    |    0.1420    |    0.1971    |    0.0868    |   *   
  9    |    10/281    |    0.1333    |    0.1872    |    0.0794    |     ---      |     ---      |     ---      |       
  9    |    20/281    |    0.1271    |    0.1776    |    0.0766    |     ---      |     ---      |     ---      |       
  9    |    30/281    |    0.1235    |    0.1707    |    0.0763    |     ---      |     ---      |     ---      |       
  9    |    40/281    |    0.1225    |    0.1692    |    0.0758    |     ---      |     ---      |     ---      |       
  9    |    50/281    |    0.1235    |    0.1699    |    0.0770    |     ---      |     ---      |     ---      |       
  9    |    60/281    |    0.1259    |    0.1736    |    0.0783    |     ---      |     ---      |     ---      |       
  9    |    70/281    |    0.1248    |    0.1714    |    0.0783    |     ---      |     ---      |     ---      |       
  9    |    80/281    |    0.1249    |    0.1714    |    0.0784    |     ---      |     ---      |     ---      |       
  9    |    90/281    |    0.1248    |    0.1721    |    0.0774    |     ---      |     ---      |     ---      |       
  9    |   100/281    |    0.1246    |    0.1714    |    0.0778    |     ---      |     ---      |     ---      |       
  9    |   110/281    |    0.1249    |    0.1718    |    0.0779    |     ---      |     ---      |     ---      |       
  9    |   120/281    |    0.1255    |    0.1732    |    0.0777    |     ---      |     ---      |     ---      |       
  9    |   130/281    |    0.1258    |    0.1733    |    0.0783    |     ---      |     ---      |     ---      |       
  9    |   140/281    |    0.1248    |    0.1719    |    0.0777    |     ---      |     ---      |     ---      |       
  9    |   150/281    |    0.1249    |    0.1724    |    0.0773    |     ---      |     ---      |     ---      |       
  9    |   160/281    |    0.1248    |    0.1726    |    0.0770    |     ---      |     ---      |     ---      |       
  9    |   170/281    |    0.1246    |    0.1722    |    0.0770    |     ---      |     ---      |     ---      |       
  9    |   180/281    |    0.1242    |    0.1712    |    0.0771    |     ---      |     ---      |     ---      |       
  9    |   190/281    |    0.1244    |    0.1718    |    0.0770    |     ---      |     ---      |     ---      |       
  9    |   200/281    |    0.1240    |    0.1715    |    0.0765    |     ---      |     ---      |     ---      |       
  9    |   210/281    |    0.1243    |    0.1720    |    0.0767    |     ---      |     ---      |     ---      |       
  9    |   220/281    |    0.1250    |    0.1733    |    0.0767    |     ---      |     ---      |     ---      |       
  9    |   230/281    |    0.1251    |    0.1735    |    0.0767    |     ---      |     ---      |     ---      |       
  9    |   240/281    |    0.1249    |    0.1731    |    0.0766    |     ---      |     ---      |     ---      |       
  9    |   250/281    |    0.1243    |    0.1720    |    0.0765    |     ---      |     ---      |     ---      |       
  9    |   260/281    |    0.1242    |    0.1720    |    0.0763    |     ---      |     ---      |     ---      |       
  9    |   270/281    |    0.1238    |    0.1715    |    0.0761    |     ---      |     ---      |     ---      |       
  9    |   280/281    |    0.1236    |    0.1715    |    0.0758    |     ---      |     ---      |     ---      |       
  9    |   Complete   |    0.1236    |    0.1714    |    0.0757    |    0.1341    |    0.1898    |    0.0785    |   *   
  10   |    10/281    |    0.1055    |    0.1488    |    0.0623    |     ---      |     ---      |     ---      |       
  10   |    20/281    |    0.1100    |    0.1522    |    0.0678    |     ---      |     ---      |     ---      |       
  10   |    30/281    |    0.1176    |    0.1647    |    0.0704    |     ---      |     ---      |     ---      |       
  10   |    40/281    |    0.1192    |    0.1668    |    0.0716    |     ---      |     ---      |     ---      |       
  10   |    50/281    |    0.1191    |    0.1666    |    0.0716    |     ---      |     ---      |     ---      |       
  10   |    60/281    |    0.1198    |    0.1684    |    0.0712    |     ---      |     ---      |     ---      |       
  10   |    70/281    |    0.1195    |    0.1681    |    0.0708    |     ---      |     ---      |     ---      |       
  10   |    80/281    |    0.1187    |    0.1673    |    0.0701    |     ---      |     ---      |     ---      |       
  10   |    90/281    |    0.1175    |    0.1657    |    0.0693    |     ---      |     ---      |     ---      |       
  10   |   100/281    |    0.1174    |    0.1657    |    0.0692    |     ---      |     ---      |     ---      |       
  10   |   110/281    |    0.1169    |    0.1643    |    0.0694    |     ---      |     ---      |     ---      |       
  10   |   120/281    |    0.1169    |    0.1644    |    0.0693    |     ---      |     ---      |     ---      |       
  10   |   130/281    |    0.1169    |    0.1648    |    0.0690    |     ---      |     ---      |     ---      |       
  10   |   140/281    |    0.1171    |    0.1653    |    0.0689    |     ---      |     ---      |     ---      |       
  10   |   150/281    |    0.1164    |    0.1640    |    0.0688    |     ---      |     ---      |     ---      |       
  10   |   160/281    |    0.1159    |    0.1631    |    0.0687    |     ---      |     ---      |     ---      |       
  10   |   170/281    |    0.1158    |    0.1630    |    0.0687    |     ---      |     ---      |     ---      |       
  10   |   180/281    |    0.1154    |    0.1625    |    0.0683    |     ---      |     ---      |     ---      |       
  10   |   190/281    |    0.1155    |    0.1626    |    0.0685    |     ---      |     ---      |     ---      |       
  10   |   200/281    |    0.1153    |    0.1622    |    0.0684    |     ---      |     ---      |     ---      |       
